type,ident,lat,long,y_proj,x_proj,comment,altitude,model,ltime
WAYPOINT,MOJA03,35.15972086,-116.11087879,3891117.00841888,580977.99920824,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA04,35.20256764,-115.86818908,3896093.51711938,603027.796840211,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA05,35.16668891,-115.38691269,3892719.16735111,646905.422820995,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA06,35.14267333,-116.07145585,3889259.17098725,584586.198647627,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA07,35.19235999,-116.13930987,3894714.03558622,578357.23707667,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA08,35.12753603,-116.10131730,3887555.42397334,581881.068087811,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA09,35.27172656,-115.28921264,3904518.3209099,655603.187461233,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOJA10,35.27266491,-115.28601947,3904627.41500254,655891.848040868,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,MOUNTMUMMY,36.29623435,-115.62693771,4017680.01070442,623291.002239134,08:04 04-OCT-12,0,GPSMap60, 
WAYPOINT,ROBBERS FI,36.29884589,-115.62435281,4017973.00481303,623519.000526845,08:04 04-OCT-12,0,GPSMap60, 
